Index,ITEM_CODE,EMP_ID,Year,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51
114,ESP_004,EMP244,2020,5,5,7,7,9,5,8,9,7,7,6,5,4,4,4,3,3,3,3,4,5,6,6,6,8,7,5,6,7,5,9,10,8,9,8,5,5,4,8,6,7,7,6,7,6,5,6,4,7,5,6,3
115,ESP_004,EMP256,2019,2,4,3,3,3,2,3,2,1,2,2,3,3,3,2,1,1,2,2,2,2,2,2,2,4,2,2,5,5,3,2,2,2,3,6,5,2,2,3,1,2,2,2,1,2,2,1,1,2,2,1,1
116,ESP_004,EMP256,2020,1,2,3,2,3,2,2,1,2,1,1,1,0,1,1,1,1,3,2,4,4,4,4,4,6,5,2,3,2,3,3,3,2,4,4,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0
117,ESP_004,EMP267,2019,4,3,6,6,7,6,7,5,4,7,4,6,5,6,4,4,3,3,3,4,3,4,4,4,4,6,7,8,10,12,11,7,6,5,6,6,5,3,2,2,1,1,1,3,3,3,4,6,6,3,4,2
118,ESP_004,EMP267,2020,2,2,1,1,0,3,6,10,16,10,5,3,2,2,1,1,1,2,3,2,3,3,4,6,5,8,7,11,14,11,10,11,5,4,5,2,2,2,2,2,1,3,3,5,6,5,4,5,4,5,5,3
119,ESP_004,EMP290,2019,2,1,2,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,0,0,0,1,1,2,2,2,3,3,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,4,2,1,2
120,ESP_004,EMP290,2020,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,0,1,3,2,3,2,1,1,1,1,3,2,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
121,ESP_005,EMP234,2019,4,3,4,3,5,3,2,2,3,1,1,1,1,1,1,2,2,2,1,2,2,4,4,7,5,5,2,3,2,3,5,6,5,7,6,4,5,3,2,1,2,2,2,1,1,1,0,0,0,0,0,0
122,ESP_005,EMP234,2020,0,0,0,1,1,1,2,2,4,4,2,3,2,2,3,2,3,3,3,4,3,6,6,8,11,8,2,4,4,4,3,4,3,2,3,4,2,4,2,2,2,2,3,3,3,3,3,3,3,3,4,3
123,ESP_005,EMP244,2019,9,8,9,9,10,8,7,11,9,8,5,7,6,7,8,5,8,7,9,7,8,9,13,11,9,7,6,7,8,8,10,8,11,10,12,9,8,9,8,6,6,11,8,8,8,11,9,6,7,7,7,5
124,ESP_005,EMP244,2020,6,8,10,11,7,9,7,9,10,11,6,9,8,7,6,7,7,7,8,7,10,7,8,10,10,5,6,10,8,12,11,10,11,14,7,9,10,7,7,9,10,8,7,8,4,9,8,7,5,7,7,4
125,ESP_005,EMP256,2019,2,2,1,3,3,1,2,2,2,3,2,1,3,4,2,1,1,1,1,1,1,1,2,2,4,3,2,1,2,3,4,3,4,3,3,3,1,3,3,2,2,1,1,1,1,1,1,1,2,1,2,2
126,ESP_005,EMP256,2020,1,1,3,2,2,1,1,1,1,1,1,1,1,1,0,1,1,2,1,3,2,2,5,4,5,3,2,4,3,2,3,3,4,3,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
127,ESP_005,EMP267,2019,5,5,6,7,4,5,7,9,8,9,6,7,5,6,6,6,5,4,6,2,3,7,7,8,9,7,7,9,11,16,15,11,10,9,9,8,6,4,4,2,2,2,3,4,4,5,6,6,5,6,5,4
128,ESP_005,EMP267,2020,3,5,4,2,1,4,9,11,18,9,12,8,3,4,4,4,5,4,4,4,4,5,7,6,6,7,14,16,11,19,15,11,6,5,7,5,5,4,3,3,3,4,4,4,7,5,6,7,5,6,5,4
129,ESP_005,EMP290,2019,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,3,4,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,ESP_005,EMP290,2020,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,2,1,1,0,1,1,1,2,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,2,1
131,ESP_006,EMP234,2019,4,8,7,3,7,5,7,4,7,5,4,4,2,3,3,4,7,3,5,3,4,4,4,7,7,7,5,4,3,4,8,11,9,5,6,5,4,5,7,4,4,4,4,3,3,2,3,2,2,2,2,2
132,ESP_006,EMP234,2020,1,3,2,3,4,3,4,5,5,5,5,5,4,5,4,4,5,6,5,2,4,7,9,9,9,10,2,5,5,3,7,6,6,6,2,5,4,5,2,4,4,4,3,5,3,3,5,5,6,6,6,9
133,ESP_006,EMP244,2019,12,15,8,13,13,13,14,12,9,12,10,8,12,10,5,11,11,9,12,11,16,10,10,12,10,10,8,14,12,13,14,10,23,16,12,15,11,12,10,8,8,12,11,12,14,11,10,12,10,14,12,8
134,ESP_006,EMP244,2020,10,13,18,11,14,11,14,16,13,11,8,9,11,10,10,13,12,13,12,12,9,7,13,9,13,7,9,9,12,13,16,15,15,11,8,14,12,11,9,8,13,10,11,14,14,7,11,11,11,8,7,10
135,ESP_006,EMP256,2019,3,2,2,4,3,3,2,2,2,3,3,4,6,3,4,3,3,3,3,5,2,3,4,5,5,7,2,2,3,1,2,3,4,3,3,2,3,5,4,3,2,2,3,3,3,3,3,3,3,3,4,5
136,ESP_006,EMP256,2020,2,3,2,3,4,3,2,3,2,1,2,2,2,2,1,2,3,3,4,4,2,4,5,4,6,7,4,1,2,4,4,8,4,4,3,3,2,3,1,3,1,2,3,2,2,2,1,1,1,2,2,2
137,ESP_006,EMP267,2019,10,14,10,13,13,12,10,14,16,15,8,10,13,15,13,14,10,10,8,8,7,12,9,10,9,6,14,13,16,15,8,14,16,12,9,11,10,10,9,6,7,6,7,6,8,6,7,8,11,8,11,4
138,ESP_006,EMP267,2020,10,8,8,7,7,8,15,18,25,16,14,11,9,6,7,11,9,8,8,7,6,9,9,9,10,12,14,17,18,14,17,10,13,10,8,7,7,8,7,8,7,6,10,9,9,10,13,11,10,9,8,6
139,ESP_006,EMP290,2019,2,3,3,2,3,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,3,2,1,1,2,2,3,2,3,1,3,3,3,1,2,2,2,2,1,2,2,2,1,1,2,1,3,3,1,2,2
140,ESP_006,EMP290,2020,1,2,0,1,1,1,1,1,1,2,1,2,3,2,2,2,1,1,1,2,1,1,3,3,4,4,2,2,2,2,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,1,1,1,1,2,1,2
141,ESP_007,EMP234,2019,2,2,2,2,1,3,2,1,1,1,1,0,0,0,0,1,2,1,1,1,1,2,2,3,6,4,2,2,2,3,4,3,3,4,5,3,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0
142,ESP_007,EMP234,2020,0,0,0,0,1,1,2,1,2,2,1,1,0,1,1,2,3,3,3,2,3,3,4,6,5,5,3,4,3,2,4,4,2,2,3,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2,2
143,ESP_007,EMP244,2019,6,5,7,6,7,6,7,8,7,6,5,4,2,3,3,4,3,4,5,4,4,6,6,8,7,8,5,6,8,9,7,5,10,5,8,5,4,5,5,7,4,7,3,7,4,6,6,6,5,4,5,3
144,ESP_007,EMP244,2020,5,5,8,8,6,5,7,8,8,5,6,6,3,3,3,4,5,4,4,4,5,5,4,6,8,5,6,6,7,6,7,13,9,7,8,4,6,5,6,4,4,5,6,6,5,6,6,4,4,7,3,4
145,ESP_007,EMP256,2019,2,2,2,3,2,3,1,2,1,1,2,2,4,2,2,1,1,1,1,1,1,1,2,2,2,3,2,3,1,3,2,1,3,2,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1
146,ESP_007,EMP256,2020,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,3,2,1,1,2,2,3,2,3,2,2,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
147,ESP_007,EMP267,2019,3,4,6,5,4,4,4,5,6,6,6,5,4,4,4,4,4,3,2,2,3,3,3,3,3,4,7,9,11,11,7,7,7,6,4,5,3,3,2,1,2,1,2,1,2,3,4,4,5,3,3,2
148,ESP_007,EMP267,2020,2,1,1,1,0,4,6,11,15,10,7,3,1,1,2,1,2,1,2,1,1,3,4,5,4,5,10,11,16,12,8,6,4,4,2,1,2,1,1,1,0,2,4,3,4,7,6,4,3,4,4,4
149,ESP_007,EMP290,2019,1,1,1,2,1,1,1,1,0,0,0,0,0,0,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1
150,ESP_007,EMP290,2020,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
151,ESP_008,EMP234,2019,1,1,1,2,2,2,2,2,2,1,0,0,0,0,1,2,2,1,1,2,1,2,2,3,4,5,2,3,2,2,2,4,4,4,3,1,2,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0
152,ESP_008,EMP234,2020,0,0,0,1,1,1,1,1,2,1,1,1,1,1,2,2,2,3,2,3,3,3,5,5,8,6,2,3,3,3,2,2,4,3,2,1,1,2,1,2,1,1,1,1,1,3,2,1,2,2,2,3
153,ESP_008,EMP244,2019,2,2,3,4,4,4,5,6,3,4,3,3,3,3,2,3,2,3,2,3,5,5,4,5,11,8,4,3,4,7,5,5,4,5,4,4,3,5,3,5,3,4,5,6,5,4,4,6,5,6,6,6
154,ESP_008,EMP244,2020,4,4,6,6,7,5,6,5,5,5,6,3,3,2,3,2,3,2,5,3,2,3,4,6,6,5,5,4,5,7,6,4,5,5,4,5,5,4,3,4,4,3,5,3,5,5,5,3,2,4,4,5
155,ESP_008,EMP256,2019,2,1,1,1,1,2,1,0,0,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,4,2,1,1,1,1,2,2,2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,2,2
156,ESP_008,EMP256,2020,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,2,2,1,2,3,2,3,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,ESP_008,EMP267,2019,4,5,6,9,9,10,8,7,7,6,7,8,8,6,6,6,4,5,3,3,4,5,5,5,4,5,5,12,11,12,9,8,7,8,7,6,3,4,4,2,1,2,3,3,3,4,4,5,6,3,4,3
158,ESP_008,EMP267,2020,4,2,2,1,0,4,7,9,17,10,9,6,3,4,3,3,5,4,5,3,5,5,6,6,7,8,9,11,13,11,12,7,5,5,7,6,3,4,3,4,4,3,7,8,8,7,6,3,5,7,5,4
159,ESP_008,EMP290,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
160,ESP_008,EMP290,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
